date,EMA1,ImportDateTime
2023-07-11,366.679,2023-07-12 01:15:04.715696
2023-07-12,367.7955,2023-07-13 01:15:04.237323
2023-07-13,369.86,2023-07-14 01:15:04.816827
2023-07-14,371.5345,2023-07-15 01:15:04.177822
2023-07-17,373.5594,2023-07-18 01:15:04.825084
2023-07-18,375.7747,2023-07-19 01:15:03.784006
2023-07-19,377.5702,2023-07-20 01:15:03.958272
2023-07-20,377.4229,2023-07-21 01:15:04.133013
2023-07-21,377.0968,2023-07-22 01:15:04.827460
2023-07-24,376.9413,2023-07-25 01:15:04.642413
2023-07-25,377.2902,2023-07-26 01:15:03.867003
2023-07-26,377.3319,2023-07-27 01:15:04.571617
2023-07-27,377.2025,2023-07-28 01:15:04.177056
2023-07-28,378.3484,2023-07-29 01:15:04.123273
2023-07-31,379.3251,2023-08-01 01:15:03.675969
2023-08-01,379.9525,2023-08-02 01:15:04.093310
2023-08-02,378.9412,2023-08-03 01:15:03.710672
2023-08-03,378.0046,2023-08-04 01:15:03.246524
2023-08-04,376.9201,2023-08-05 01:15:03.997889
2023-08-07,376.5986,2023-08-08 01:15:03.687550
2023-08-08,375.7529,2023-08-09 01:15:03.315063
2023-08-09,374.3269,2023-08-10 01:15:03.951627
2023-08-10,373.2838,2023-08-11 01:15:03.816448
2023-08-11,372.0113,2023-08-12 01:15:04.051085
2023-08-14,371.7202,2023-08-15 01:15:04.095184
2023-08-15,370.7582,2023-08-16 01:15:03.557616
2023-08-16,369.264,2023-08-17 01:15:03.846170
2023-08-17,367.3215,2023-08-18 01:15:04.053905
2023-08-18,365.6503,2023-08-19 01:15:04.088064
2023-08-21,365.3263,2023-08-22 01:15:04.083297
2023-08-22,364.9726,2023-08-23 01:15:03.714726
2023-08-23,365.7249,2023-08-24 01:15:03.819787
2023-08-24,364.9058,2023-08-25 01:15:04.115395
2023-08-25,364.7467,2023-08-26 01:15:04.561858
2023-08-28,365.1261,2023-08-29 01:15:03.964642
2023-08-29,366.8853,2023-08-30 01:15:04.143407
2023-08-30,368.6989,2023-08-31 01:15:04.363378
2023-08-31,370.3882,2023-09-01 01:15:04.736389
